Source,Target
NYF6446,IOK0019
TWX7324,IOK0019
SMM7532,DOP4464
MMR9479,DOP4464
AIK6389,TEP0158
QNN2467,OUI5435
GNJ8056,VQO9994
DLI7067,DWF6256
AZQ1179,HIO4162
FJX9772,BZX0989
MKL9076,VZU1504
DXA6100,VZU1504
VND0828,PEU0387
JYM4937,PEU0387
DTQ8060,UWU1594
UKK7129,UWU1594
WZV8511,UWU1594
HZM8378,OXN5598
MKC4344,OXN5598
FJX9772,WEU9528
IOK0019,TWX7324
PLF2830,KVB7753
OXN5598,PWG6657
MKC4344,PWG6657
XYJ9848,PBE3429
PNR4588,XZV2878
AIK6389,VBW7332
PEU0387,FCO7772
RSH2454,FCO7772
ZGV2283,FCO7772
FZL3954,FCO7772
NPH7463,FCO7772
DLI7067,MVW6178
EFR8738,MVW6178
EWV0755,RID5661
AJI6885,RID5661
VZU1504,GIQ5378
DXA6100,GIQ5378
YFI6105,EWV0755
PEU0387,EWV0755
ETJ6157,GJF2616
BHD8536,GJF2616
TEP0158,XGG8367
YYQ7889,XGG8367
PBE3429,YFI6105
PEU0387,YFI6105
VZU1504,YFI6105
CJO8668,DTQ8060
UBS3042,DTQ8060
UKK7129,DTQ8060
UWU1594,DTQ8060
DTQ8060,DLI7067
GJF2616,VNO1469
PFW6948,XIE4881
GJF2616,CBU3746
BSO9387,QRI4215
AJV2086,QRI4215
SXL2320,FRR9612
DLI7067,FRR9612
DTQ8060,FRR9612
PEU0387,RSH2454
FCO7772,RSH2454
