EgoID,Egojob,NumAlter,NumKin,NumNonKin
KVB7753,Fish,1,1,0
KVB7753,Trade,3,3,0
CFC5600,Fish,1,1,0
DWF6256,Fish,1,1,0
VQO9994,Fish,1,1,0
AIK6389,Fish,1,1,0
ZGV2283,Fish,1,1,0
YYQ7889,Fish,1,1,0
MVW6178,Fish,1,1,0
GIQ5378,Fish,1,1,0
GIQ5378,Trade,2,0,2
PEU0387,Fish,1,1,0
PEU0387,Trade,2,2,0
FCO7772,Fish,1,1,0
FCO7772,Trade,4,4,0
OUI5435,Fish,1,1,0
DOP4464,Fish,1,1,0
QRI4215,Fish,2,2,0
FRR9612,Fish,1,1,0
FRR9612,Trade,1,1,0
HYK2413,Fish,1,1,0
HYK2413,Trade,1,1,0
DLI7067,Fish,2,2,0
RSH2454,Fish,2,2,0
HIO4162,Trade,1,0,1
TWX7324,Trade,2,2,0
VBW7332,Trade,2,1,1
CJO8668,Trade,2,1,1
UWU1594,Trade,3,1,2
CBU3746,Trade,3,3,0
PWG6657,Trade,3,1,2
VZU1504,Trade,3,3,0
EWV0755,Trade,3,0,3
GJF2616,Trade,4,4,0
KWE0168,Trade,4,2,2
XZV2878,Trade,4,4,0
XIE4881,Trade,4,4,0
BZX0989,Trade,5,4,1
IOK0019,Trade,7,1,6
