ID,HH,Color,Shape
BSO9387,hhEH110,mediumpurple,square
PPW8689,hhEH110,mediumpurple,square
QRI4215,hhEH110,white,circle
AJV2086,hhEH110,white,circle
AZQ1179,hhJQ823,steelblue2,circle
HIO4162,hhJX787,goldenrod,circle
PLF2830,hhPF711,steelblue2,circle
ZBD9835,hhHI531,mediumpurple,square
KVB7753,hhHI531,goldenrod,circle
UWU1594,hhFI854,goldenrod,circle
CFC5600,hhYW770,mediumpurple,circle
TWX7324,hhYS321,goldenrod,circle
SXL2320,hhYF487,mediumpurple,square
FRR9612,hhYF487,goldenrod,circle
EYG9594,hhUJ468,mediumpurple,circle
DWF6256,hhUJ468,mediumpurple,circle
EFR8738,hhUJ468,white,circle
GGL5497,hhQH330,mediumpurple,square
HYK2413,hhQH330,goldenrod,circle
ZVM3980,hhWH733,mediumpurple,square
VQO9994,hhWH733,mediumpurple,circle
GNJ8056,hhWH733,white,circle
GJF2616,hhOU825,goldenrod,circle
ETJ6157,hhOU825,white,circle
BHD8536,hhOS822,white,circle
VNO1469,hhOS822,white,circle
CBU3746,hhNT279,goldenrod,circle
VBW7332,hhDW036,goldenrod,circle
NAN2378,hhWE670,mediumpurple,square
AIK6389,hhWE670,mediumpurple,circle
NPH7463,hhUK744,mediumpurple,square
ZGV2283,hhUK744,mediumpurple,circle
PWG6657,hhOX006,goldenrod,circle
HZM8378,hhUP178,mediumpurple,square
OXN5598,hhUP178,goldenrod,circle
MKC4344,hhGQ193,steelblue2,circle
KWE0168,hhJO173,goldenrod,circle
PNR4588,hhWQ415,white,circle
XZV2878,hhWQ415,goldenrod,circle
TEP0158,hhIA587,steelblue2,circle
XGG8367,hhSU785,goldenrod,circle
XIE4881,hhIL249,goldenrod,circle
PFW6948,hhUK251,mediumpurple,square
YYQ7889,hhUK251,goldenrod,circle
UBS3042,hhWG406,white,circle
DTQ8060,hhWG406,goldenrod,circle
WZV8511,hhUY265,white,circle
UKK7129,hhWG406,goldenrod,circle
HFB7372,hhYS227,mediumpurple,square
UCY1761,hhYS227,mediumpurple,square
ZEY5084,hhOX108,mediumpurple,circle
DLI7067,hhYS227,mediumpurple,circle
MVW6178,hhOX108,mediumpurple,circle
FJX9772,hhKG588,steelblue2,circle
BZX0989,hhKG588,goldenrod,circle
WEU9528,hhNU834,white,circle
NYF6446,hhYM824,mediumpurple,square
IOK0019,hhYM824,goldenrod,circle
VZU1504,hhKN639,goldenrod,circle
PSN3617,hhZL674,mediumpurple,square
MKL9076,hhZL674,mediumpurple,square
GIQ5378,hhZL674,goldenrod,circle
DXA6100,hhZL674,white,circle
XYJ9848,hhAV052,white,circle
PBE3429,hhAV052,goldenrod,circle
VND0828,hhDU281,mediumpurple,square
AIV2838,hhLI710,mediumpurple,square
FZL3954,hhXK860,mediumpurple,square
JYM4937,hhDU281,mediumpurple,square
RSH2454,hhDU281,goldenrod,circle
PEU0387,hhLI710,goldenrod,circle
FCO7772,hhXK860,goldenrod,circle
TJF6680,hhKY101,white,circle
YFI6105,hhKY101,steelblue2,circle
EWV0755,hhOU254,goldenrod,circle
AJI6885,hhOU254,goldenrod,circle
RID5661,hhEM869,goldenrod,circle
CJO8668,hhEQ348,goldenrod,circle
QNN2467,hhQT524,mediumpurple,square
OUI5435,hhQT524,mediumpurple,circle
SMM7532,hhEV977,mediumpurple,square
MMR9479,hhEV977,mediumpurple,square
DOP4464,hhEV977,mediumpurple,circle
