Source,Target
BSO9387,QRI4215
PPW8689,QRI4215
HIO4162,KVB7753
ZBD9835,KVB7753
CFC5600,SXL2320
SXL2320,FRR9612
EYG9594,DWF6256
GGL5497,HYK2413
ZVM3980,VQO9994
NAN2378,AIK6389
NPH7463,ZGV2283
HIO4162,PWG6657
KVB7753,PWG6657
KWE0168,XZV2878
PFW6948,YYQ7889
UWU1594,DTQ8060
HFB7372,DLI7067
UCY1761,DLI7067
ZEY5084,MVW6178
HIO4162,IOK0019
KVB7753,IOK0019
TWX7324,IOK0019
XZV2878,IOK0019
IOK0019,VZU1504
HIO4162,GIQ5378
KVB7753,GIQ5378
FRR9612,GIQ5378
IOK0019,GIQ5378
PSN3617,GIQ5378
VZU1504,PBE3429
VND0828,RSH2454
JYM4937,RSH2454
GIQ5378,PEU0387
AIV2838,PEU0387
HYK2413,FCO7772
VZU1504,FCO7772
GIQ5378,FCO7772
FZL3954,FCO7772
PEU0387,FCO7772
TJF6680,YFI6105
UWU1594,EWV0755
XGG8367,CJO8668
QNN2467,OUI5435
SMM7532,DOP4464
